id,understat
1,847
2,181
3,204
4,496
5,1749
6,2328
7,2517
8,8089
9,5656
10,7298
11,6482
12,7230
13,7322
14,7931
15,5603
16,5613
17,9691
18,9689
19,7752
20,8380
21,1750
22,1227
23,6492
24,0
25,0
26,6888
27,0
28,5543
29,488
30,986
31,4401
32,508
33,1823
34,695
35,6962
36,3696
37,7723
38,6859
39,1024
40,8865
41,8040
42,2203
43,8864
44,7726
45,5221
46,6122
47,8941
48,9356
49,9554
50,5712
51,5612
52,1053
53,5789
54,9912
55,9415
56,3253
57,825
58,463
59,6891
60,6820
61,0
62,10743
63,0
64,2182
65,7823
66,1679
67,1789
68,10742
69,10744
70,6034
71,7384
72,7582
73,8090
74,0
75,0
76,10740
77,0
78,1801
79,7083
80,998
81,9676
82,1078
83,10405
84,9677
85,9679
86,9680
87,7069
88,7166
89,5786
90,9685
91,9683
92,9678
93,9681
94,9914
95,6552
96,9687
97,9684
98,9915
99,9682
100,0
101,486
102,7235
103,501
104,239
105,6047
106,6048
107,6049
108,7699
109,8780
110,3621
111,7698
112,7134
113,9098
114,8226
115,8020
116,8379
117,9284
118,9734
119,10036
120,9453
121,9735
122,0
123,10804
124,0
125,0
126,0
127,681
128,3288
129,1621
130,1389
131,592
132,2254
133,5061
134,751
135,8992
136,688
137,65
138,689
139,782
140,2662
141,6615
142,7768
143,5648
144,6456
145,5220
146,8067
147,6880
148,9040
149,7988
150,8384
151,6369
152,2190
153,530
154,633
155,606
156,510
157,603
158,5549
159,672
160,522
161,757
162,856
163,6104
164,6027
165,6314
166,3697
167,7603
168,5735
169,8706
170,8214
171,9948
172,9461
173,10698
174,6451
175,978
176,694
177,813
178,585
179,775
180,1653
181,645
182,741
183,1379
184,2383
185,1726
186,500
187,4764
188,6521
189,762
190,1042
191,5555
192,985
193,7689
194,10291
195,8150
196,8476
197,10292
198,8109
199,1665
200,6835
201,7184
202,4497
203,1677
204,6840
205,6827
206,6834
207,973
208,6067
209,5590
210,773
211,910
212,5596
213,8704
214,3683
215,5973
216,661
217,8940
218,0
219,0
220,10715
221,8816
222,8716
223,4381
224,1711
225,2381
226,8718
227,822
228,2163
229,1014
230,6273
231,5595
232,8026
233,8720
234,8721
235,8717
236,9700
237,9493
238,8715
239,6485
240,9492
241,8544
242,9339
243,10028
244,10750
245,5086
246,10751
247,0
248,745
249,807
250,835
251,753
252,1785
253,111
254,473
255,755
256,3303
257,759
258,6157
259,5956
260,770
261,6818
262,620
263,6418
264,6681
265,5545
266,9739
267,5264
268,7753
269,6310
270,8562
271,9738
272,7589
273,0
274,489
275,605
276,332
277,229
278,966
279,482
280,833
281,1257
282,3420
283,1250
284,1688
285,1791
286,987
287,5247
288,6854
289,7904
290,6326
291,6665
292,8852
293,10408
294,7546
295,8204
296,9501
297,10720
298,0
299,638
300,314
301,447
302,586
303,750
304,618
305,675
306,2379
307,6054
308,579
309,2498
310,7817
311,3635
312,8961
313,2958
314,6055
315,2496
316,8497
317,10126
318,8260
319,10846
320,0
321,10004
322,0
323,8868
324,0
325,8719
326,2371
327,546
328,951
329,2245
330,1687
331,6817
332,1006
333,1228
334,1828
335,556
336,8821
337,6080
338,5560
339,1739
340,6345
341,5584
342,7281
343,8075
344,9524
345,553
346,922
347,9324
348,1651
349,769
350,461
351,708
352,875
353,780
354,4456
355,6532
356,468
357,652
358,7382
359,1683
360,766
361,743
362,853
363,1719
364,1545
365,6063
366,76
367,884
368,101
369,7420
370,7078
371,87
372,7691
373,6630
374,8327
375,1746
376,5552
377,8635
378,881
379,458
380,0
381,767
382,0
383,0
384,6139
385,10757
386,0
387,0
388,10756
389,0
390,7312
391,5602
392,0
393,0
394,6424
395,10761
396,0
397,7814
398,7702
399,0
400,503
401,635
402,842
403,790
404,1735
405,6893
406,6894
407,843
408,4419
409,885
410,6042
411,7700
412,8456
413,6252
414,7280
415,8224
416,6736
417,6500
418,7701
419,9512
420,6923
421,0
422,10765
423,0
424,624
425,637
426,831
427,647
428,453
429,6852
430,643
431,3293
432,660
433,343
434,971
435,6249
436,6837
437,8300
438,7187
439,8222
440,6108
441,7198
442,6377
443,7218
444,5609
445,7430
446,6691
447,9332
448,448
449,7298
450,9021
451,0
452,0
453,8145
454,6026
455,706
456,528
457,534
458,531
459,804
460,535
461,935
462,1760
463,8965
464,3585
465,1776
466,6276
467,5553
468,8288
469,2335
470,3203
471,6424
472,0
473,2310
474,6850
475,6851
476,4105
477,2280
478,9740
479,7236
480,6853
481,8845
482,6163
483,8291
484,7332
485,8179
486,6382
487,6674
488,8778
489,10293
490,10327
491,900
492,0
493,6857
494,0
495,0
496,0
497,527
498,9086
499,660
500,0
501,8228
502,8158
503,3422
504,10803
505,0
506,7352
507,0
508,0
509,10845
510,8942
511,0
512,0
513,5050
514,8666
515,10809
516,9733
517,1214
518,509
519,646
520,1376
521,9552
522,0
523,10758
524,0
525,6083
526,1654
527,558
